ParticleType,Energy
2mu-,120.4
pi-,398.391
pi-,398.391
2pi-,396.497
2pi-,396.497
pi-,333.782
pi-,333.782
2pi-,332.661
2pi-,332.661
pi+,1199.68
pi+,1199.68
2pi+,1198.35
2pi+,1198.35
mu+,185.264
mu+,185.264
mu+,185.264
2mu+,184.22
2mu+,184.22
2mu+,184.22
pi-,251.648
pi-,251.648
2mu-,130.494
2mu-,130.494
2mu-,130.494
pi+,398.4
pi+,398.4
2pi+,397.55
2pi+,397.55
pi+,418.902
pi+,418.902
2pi+,417.919
2pi+,417.919
mu-,17.7598
mu-,17.7598
mu-,17.7598
pi-,634.196
pi-,634.196
2pi-,632.513
2pi-,632.513
pi-,1060.98
pi-,1060.98
2mu-,662.009
2mu-,662.009
pi-,546.882
pi-,546.882
2pi-,544.357
2pi-,544.357
pi-,352.308
pi-,352.308
2pi-,350.619
2pi-,350.619
pi+,436.694
pi+,436.694
2pi+,435.802
2pi+,435.802
pi+,133.37
pi+,133.37
pi+,133.37
2pi+,132.277
2pi+,132.277
2pi+,132.277
pi-,564.661
pi-,564.661
2mu-,542.568
2mu-,542.568
pi+,241.384
pi+,241.384
pi+,241.384
2pi+,240.14
2pi+,240.14
2pi+,240.14
pi+,111.735
pi+,111.735
pi+,111.735
2pi+,110.444
2pi+,110.444
2pi+,110.444
pi-,187.609
pi-,187.609
pi-,187.609
2mu-,201.334
2mu-,201.334
2mu-,201.334
pi+,272.878
pi+,272.878
pi+,272.878
2pi+,272.048
2pi+,272.048
2pi+,272.048
pi+,306.016
pi+,306.016
2mu+,291.125
2mu+,291.125
pi+,908.757
pi+,908.757
2pi+,907.702
2pi+,907.702
pi-,546.57
pi-,546.57
2mu-,337.325
2mu-,337.325
2mu-,337.325
pi+,553.971
pi+,553.971
pi+,553.971
2pi+,552.947
2pi+,552.947
2pi+,552.947
pi+,269.995
pi+,269.995
2pi+,268.726
2pi+,268.726
pi+,449.537
pi+,449.537
2pi+,448.384
2pi+,448.384
pi+,131.657
pi+,131.657
pi+,131.657
2mu+,96.3988
2mu+,96.3988
2mu+,96.3988
pi+,1440.47
pi+,1440.47
2pi+,1439.48
2pi+,1439.48
pi+,389.678
pi+,389.678
2pi+,387.897
2pi+,387.897
pi-,26.6126
pi-,26.6126
pi-,26.6126
pi-,514.333
pi-,514.333
2pi-,513.082
2pi-,513.082
pi+,226.63
pi+,226.63
pi+,226.63
2pi+,225.338
2pi+,225.338
2pi+,225.338
pi+,445.602
pi+,445.602
2pi+,444.04
2pi+,444.04
pi+,249.516
pi+,249.516
2pi+,248.063
2pi+,248.063
pi+,534.657
pi+,534.657
2mu+,333.163
2mu+,333.163
pi-,375.545
pi-,375.545
2pi-,374.245
2pi-,374.245
pi-,365.671
pi-,365.671
2pi-,363.728
2pi-,363.728
pi+,323.022
pi+,323.022
2pi+,321.781
2pi+,321.781
pi-,661.176
pi-,661.176
2mu-,641.089
2mu-,641.089
pi+,351.1
pi+,351.1
pi+,351.1
2pi+,350.277
2pi+,350.277
2pi+,350.277
pi+,916.545
pi+,916.545
2pi+,915.649
2pi+,915.649
pi-,111.502
pi-,111.502
pi-,111.502
2pi-,108.806
2pi-,108.806
2pi-,108.806
pi+,279.713
pi+,279.713
pi+,279.713
2mu+,209.495
2mu+,209.495
2mu+,209.495
pi-,866.016
pi-,866.016
2pi-,864.946
2pi-,864.946
pi+,761.096
pi+,761.096
2pi+,760.105
2pi+,760.105
pi+,251.47
pi+,251.47
pi+,251.47
2pi+,250.204
2pi+,250.204
2pi+,250.204
pi-,364.348
pi-,364.348
2mu-,380.155
2mu-,380.155
pi+,702.952
pi+,702.952
2pi+,701.823
2pi+,701.823
pi-,1534.49
pi-,1534.49
2pi-,1532.45
2pi-,1532.45
pi+,460.248
pi+,460.248
pi+,460.248
2pi+,459.369
2pi+,459.369
pi+,80.1851
pi+,80.1851
pi+,80.1851
2pi+,75.7202
2pi+,75.7202
2pi+,75.7202
pi-,401.088
pi-,401.088
pi-,401.088
2pi-,399.763
2pi-,399.763
2pi-,399.763
pi+,368.151
pi+,368.151
2pi+,366.899
2pi+,366.899
pi-,488.331
pi-,488.331
2mu-,430.284
2mu-,430.284
2mu-,430.284
pi+,1067.43
pi+,1067.43
2pi+,1066.41
2pi+,1066.41
pi+,581.633
pi+,581.633
2pi+,580.553
2pi+,580.553
pi+,181.52
pi+,181.52
pi+,181.52
2pi+,174.742
2pi+,174.742
2pi+,174.742
pi-,133.966
pi-,133.966
pi-,133.966
2pi-,132.495
2pi-,132.495
2pi-,132.495
pi-,280.672
pi-,280.672
2pi-,279.553
2pi-,279.553
pi-,568.468
pi-,568.468
2pi-,567.374
2pi-,567.374
pi-,658.058
pi-,658.058
2pi-,657.151
2pi-,657.151
pi-,187.825
pi-,187.825
pi-,187.825
2pi-,185.854
2pi-,185.854
pi-,626.616
pi-,626.616
2pi-,625.731
2pi-,625.731
pi+,323.1
pi+,323.1
pi+,323.1
2pi+,321.743
2pi+,321.743
2pi+,321.743
pi+,379.653
pi+,379.653
2pi+,378.36
2pi+,378.36
pi+,230.006
pi+,230.006
pi+,230.006
2pi+,228.822
2pi+,228.822
2pi+,228.822
pi-,447.424
pi-,447.424
2pi-,446.103
2pi-,446.103
pi+,621.787
pi+,621.787
pi+,621.787
2pi+,606.918
2pi+,606.918
2pi+,606.918
pi+,63.5205
pi+,63.5205
pi+,63.5205
2mu+,69.4674
2mu+,69.4674
2mu+,69.4674
pi+,402.557
pi+,402.557
2pi+,401.328
2pi+,401.328
pi-,1026.43
pi-,1026.43
2pi-,1025.29
2pi-,1025.29
pi+,411.565
pi+,411.565
2pi+,410.502
2pi+,410.502
pi-,227.764
pi-,227.764
2pi-,223.482
2pi-,223.482
pi-,381.022
pi-,381.022
2pi-,379.337
2pi-,379.337
pi+,348.58
pi+,348.58
pi+,348.58
2pi+,347.68
2pi+,347.68
pi+,523.727
pi+,523.727
2pi+,518.278
2pi+,518.278
pi+,710.8
pi+,710.8
2pi+,709.482
2pi+,709.482
pi+,953.875
pi+,953.875
2mu+,915.225
2mu+,915.225
pi+,735.51
pi+,735.51
2pi+,734.38
2pi+,734.38
mu-,53.9005
mu-,53.9005
mu-,53.9005
2mu-,51.3449
2mu-,51.3449
2mu-,51.3449
pi-,309.475
pi-,309.475
2pi-,307.971
2pi-,307.971
pi+,567.851
pi+,567.851
2pi+,566.785
2pi+,566.785
mu-,115.897
mu-,115.897
mu-,115.897
2mu-,114.524
2mu-,114.524
2mu-,114.524
pi-,465.058
pi-,465.058
2pi-,463.478
2pi-,463.478
pi-,451.53
pi-,451.53
2mu-,311.735
2mu-,311.735
pi+,553.568
pi+,553.568
2pi+,552.568
2pi+,552.568
pi-,294.457
pi-,294.457
pi-,294.457
2pi-,293.456
2pi-,293.456
pi+,1002.45
pi+,1002.45
2pi+,1001.3
2pi+,1001.3
pi+,332.129
pi+,332.129
2pi+,331.06
2pi+,331.06
pi-,394.259
pi-,394.259
2pi-,392.746
2pi-,392.746
pi+,643.249
pi+,643.249
2pi+,642.024
2pi+,642.024
pi+,508.232
pi+,508.232
2pi+,507.362
2pi+,507.362
pi-,409.436
pi-,409.436
2pi-,408.179
2pi-,408.179
pi+,510.652
pi+,510.652
2mu+,441.074
2mu+,441.074
pi+,266.296
pi+,266.296
2pi+,264.952
2pi+,264.952
pi-,568.309
pi-,568.309
2pi-,567.29
2pi-,567.29
pi-,130.272
pi-,130.272
pi-,130.272
2mu-,139.586
2mu-,139.586
2mu-,139.586
pi-,280.616
pi-,280.616
2pi-,277.792
